threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,59,31,56856,16,0.655556,0.786667,0.715152,0.717722,0.999455,875.38,387.5,1262.88
0.02,59,31,56856,16,0.655556,0.786667,0.715152,0.717722,0.999455,875.38,387.5,1262.88
0.03,59,31,56856,16,0.655556,0.786667,0.715152,0.717722,0.999455,875.38,387.5,1262.88
0.04,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.05,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.06,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.07,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.08,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.09,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.1,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.11,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.12,59,19,56868,16,0.75641,0.786667,0.771242,0.771083,0.999666,875.38,237.5,1112.88
0.13,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.14,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.15,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.16,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.17,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.18,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.19,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.2,58,14,56873,17,0.805556,0.773333,0.789116,0.789008,0.999754,928.07,175.0,1103.07
0.21,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.22,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.23,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.24,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.25,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.26,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.27,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.28,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.29,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.3,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.31,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.32,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.33,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.34,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.35,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.36,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.37,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.38,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.39,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.4,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.41,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.42,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.43,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.44,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.45,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.46,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.47,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.48,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.49,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.5,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.51,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.52,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.53,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.54,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
