threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,58,9,56878,17,0.865672,0.773333,0.816901,0.817976,0.999842,928.07,112.5,1040.57
0.02,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.03,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.04,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.05,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.06,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.07,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.08,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.09,58,8,56879,17,0.878788,0.773333,0.822695,0.824161,0.999859,928.07,100.0,1028.07
0.1,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.11,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.12,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.13,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.14,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.15,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.16,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.17,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.18,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.19,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.2,58,7,56880,17,0.892308,0.773333,0.828571,0.830488,0.999877,928.07,87.5,1015.57
0.21,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.22,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.23,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.24,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.25,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.26,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.27,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.28,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.29,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
