threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,75,56885,2,0,0.001317,1.0,0.00263,0.000215,3.5e-05,0.0,711062.5,711062.5
0.02,75,56884,3,0,0.001317,1.0,0.00263,0.000264,5.3e-05,0.0,711050.0,711050.0
0.03,75,56877,10,0,0.001317,1.0,0.00263,0.000481,0.000176,0.0,710962.5,710962.5
0.04,75,56876,11,0,0.001317,1.0,0.00263,0.000505,0.000193,0.0,710950.0,710950.0
0.05,74,56874,13,1,0.001299,0.986667,0.002595,-0.030315,0.000229,52.7,710925.0,710977.7
0.06,74,56863,24,1,0.0013,0.986667,0.002596,-0.022353,0.000422,52.7,710787.5,710840.2
0.07,74,56853,34,1,0.0013,0.986667,0.002596,-0.018637,0.000598,52.7,710662.5,710715.2
0.08,74,56831,56,1,0.0013,0.986667,0.002597,-0.014163,0.000984,52.7,710387.5,710440.2
0.09,74,56780,107,1,0.001302,0.986667,0.0026,-0.009546,0.001881,52.7,709750.0,709802.7
0.1,74,56686,201,1,0.001304,0.986667,0.002604,-0.005978,0.003533,52.7,708575.0,708627.7
0.11,74,56564,323,1,0.001307,0.986667,0.00261,-0.003691,0.005678,52.7,707050.0,707102.7
0.12,73,56442,445,2,0.001292,0.973333,0.00258,-0.007744,0.007823,110.22,705525.0,705635.22
0.13,73,56251,636,2,0.001296,0.973333,0.002589,-0.005336,0.01118,110.22,703137.5,703247.72
0.14,73,55970,917,2,0.001303,0.973333,0.002602,-0.003036,0.01612,110.22,699625.0,699735.22
0.15,73,55470,1417,2,0.001314,0.973333,0.002625,-0.000409,0.024909,110.22,693375.0,693485.22
0.16,73,54756,2131,2,0.001331,0.973333,0.002659,0.002062,0.03746,110.22,684450.0,684560.22
0.17,71,53520,3367,4,0.001325,0.946667,0.002646,0.0009,0.059188,230.43,669000.0,669230.43
0.18,70,51679,5208,5,0.001353,0.933333,0.002701,0.003129,0.09155,283.68,645987.5,646271.18
0.19,70,49089,7798,5,0.001424,0.933333,0.002844,0.007426,0.137079,283.68,613612.5,613896.18
0.2,69,45773,11114,6,0.001505,0.92,0.003005,0.010555,0.19537,344.94,572162.5,572507.44
0.21,67,41475,15412,8,0.001613,0.893333,0.00322,0.013405,0.270923,450.45,518437.5,518887.95
0.22,67,36401,20486,8,0.001837,0.893333,0.003667,0.01915,0.360117,450.45,455012.5,455462.95
0.23,65,30708,26179,10,0.002112,0.866667,0.004214,0.023782,0.460193,558.61,383850.0,384408.61
0.24,62,24555,32332,13,0.002519,0.826667,0.005022,0.028916,0.568355,717.17,306937.5,307654.67
0.25,61,18851,38036,14,0.003225,0.813333,0.006425,0.037111,0.668624,769.89,235637.5,236407.39
0.26,61,13758,43129,14,0.004414,0.813333,0.008781,0.048345,0.758152,769.89,171975.0,172744.89
0.27,59,9660,47227,16,0.006071,0.786667,0.012048,0.059462,0.83019,875.37,120750.0,121625.37
0.28,59,6672,50215,16,0.008765,0.786667,0.017338,0.075194,0.882715,875.37,83400.0,84275.37
0.29,58,4491,52396,17,0.01275,0.773333,0.025087,0.092888,0.921054,928.09,56137.5,57065.59
0.3,58,3179,53708,17,0.017918,0.773333,0.035024,0.112375,0.944117,928.09,39737.5,40665.59
0.31,58,2304,54583,17,0.024555,0.773333,0.0476,0.133292,0.959499,928.09,28800.0,29728.09
0.32,58,1728,55159,17,0.032475,0.773333,0.062332,0.154591,0.969624,928.09,21600.0,22528.09
0.33,58,1350,55537,17,0.041193,0.773333,0.07822,0.175069,0.976269,928.09,16875.0,17803.09
0.34,57,1060,55827,18,0.05103,0.76,0.095638,0.193888,0.981367,980.77,13250.0,14230.77
0.35,57,828,56059,18,0.064407,0.76,0.11875,0.218569,0.985445,980.77,10350.0,11330.77
0.36,57,662,56225,18,0.079277,0.76,0.143577,0.243081,0.988363,980.77,8275.0,9255.77
0.37,57,539,56348,18,0.095638,0.76,0.169896,0.267467,0.990525,980.77,6737.5,7718.27
0.38,57,457,56430,18,0.110895,0.76,0.193548,0.288357,0.991967,980.77,5712.5,6693.27
0.39,57,398,56489,18,0.125275,0.76,0.215094,0.306745,0.993004,980.77,4975.0,5955.77
0.4,57,355,56532,18,0.13835,0.76,0.234086,0.322556,0.99376,980.77,4437.5,5418.27
0.41,57,330,56557,18,0.147287,0.76,0.246753,0.332932,0.994199,980.77,4125.0,5105.77
0.42,57,303,56584,18,0.158333,0.76,0.262069,0.345326,0.994674,980.77,3787.5,4768.27
0.43,57,276,56611,18,0.171171,0.76,0.279412,0.359193,0.995148,980.77,3450.0,4430.77
0.44,57,251,56636,18,0.185065,0.76,0.29765,0.373621,0.995588,980.77,3137.5,4118.27
0.45,57,232,56655,18,0.197232,0.76,0.313187,0.385813,0.995922,980.77,2900.0,3880.77
0.46,57,218,56669,18,0.207273,0.76,0.325714,0.395592,0.996168,980.77,2725.0,3705.77
0.47,57,205,56682,18,0.217557,0.76,0.338279,0.405363,0.996396,980.77,2562.5,3543.27
0.48,57,185,56702,18,0.235537,0.76,0.359621,0.421903,0.996748,980.77,2312.5,3293.27
0.49,57,175,56712,18,0.24569,0.76,0.371336,0.430962,0.996924,980.77,2187.5,3168.27
