threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,66,420,56467,9,0.135802,0.88,0.235294,0.344041,0.992617,501.08,5250.0,5751.08
0.02,66,193,56694,9,0.254826,0.88,0.39521,0.472486,0.996607,501.08,2412.5,2913.58
0.03,66,192,56695,9,0.255814,0.88,0.396396,0.473407,0.996625,501.08,2400.0,2901.08
0.04,61,126,56761,14,0.326203,0.813333,0.465649,0.514188,0.997785,765.14,1575.0,2340.14
0.05,61,94,56793,14,0.393548,0.813333,0.530435,0.565009,0.998348,765.14,1175.0,1940.14
0.06,61,94,56793,14,0.393548,0.813333,0.530435,0.565009,0.998348,765.14,1175.0,1940.14
0.07,61,94,56793,14,0.393548,0.813333,0.530435,0.565009,0.998348,765.14,1175.0,1940.14
0.08,61,94,56793,14,0.393548,0.813333,0.530435,0.565009,0.998348,765.14,1175.0,1940.14
0.09,61,94,56793,14,0.393548,0.813333,0.530435,0.565009,0.998348,765.14,1175.0,1940.14
0.1,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.11,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.12,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.13,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.14,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.15,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.16,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.17,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.18,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.19,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.2,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.21,60,37,56850,15,0.618557,0.8,0.697674,0.703016,0.99935,822.66,462.5,1285.16
0.22,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.23,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.24,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.25,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.26,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.27,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.28,60,29,56858,15,0.674157,0.8,0.731707,0.73401,0.99949,822.66,362.5,1185.16
0.29,58,5,56882,17,0.920635,0.773333,0.84058,0.843591,0.999912,928.07,62.5,990.57
0.3,58,5,56882,17,0.920635,0.773333,0.84058,0.843591,0.999912,928.07,62.5,990.57
0.31,58,5,56882,17,0.920635,0.773333,0.84058,0.843591,0.999912,928.07,62.5,990.57
0.32,58,5,56882,17,0.920635,0.773333,0.84058,0.843591,0.999912,928.07,62.5,990.57
0.33,57,5,56882,18,0.919355,0.76,0.832117,0.835696,0.999912,983.96,62.5,1046.46
0.34,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1158.84,12.5,1171.34
0.35,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1158.84,12.5,1171.34
0.36,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1158.84,12.5,1171.34
0.37,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1158.84,12.5,1171.34
0.38,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1158.84,12.5,1171.34
