threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,58,76,56811,17,0.432836,0.773333,0.555024,0.577856,0.998664,928.07,950.0,1878.07
0.02,58,70,56817,17,0.453125,0.773333,0.571429,0.591294,0.998769,928.07,875.0,1803.07
0.03,58,66,56821,17,0.467742,0.773333,0.582915,0.600788,0.99884,928.07,825.0,1753.07
0.04,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.05,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.06,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.07,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.08,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.09,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.1,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.11,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.12,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.13,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.14,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.15,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.16,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.17,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.18,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.19,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.2,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.21,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.22,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.23,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.24,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.25,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.26,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.27,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.28,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
