threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,66,376,56511,9,0.149321,0.88,0.255319,0.360939,0.99339,501.08,4700.0,5201.08
0.02,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.03,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.04,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.05,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.06,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.07,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.08,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.09,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.1,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.11,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.12,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.13,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.14,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.15,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.16,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.17,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.18,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.19,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.2,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
