threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.01,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.02,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.03,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.04,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.05,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.06,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.07,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.08,58,15,56872,17,0.794521,0.773333,0.783784,0.783574,0.999736,928.07,187.5,1115.57
0.09,58,11,56876,17,0.84058,0.773333,0.805556,0.806012,0.999807,928.07,137.5,1065.57
0.1,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.11,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.12,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.13,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.14,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.15,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.16,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.17,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.18,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.19,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.2,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.21,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.22,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.23,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.24,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.25,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.26,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.27,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.28,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.29,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.3,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.31,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.32,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.33,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.34,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.35,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.36,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.37,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.38,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.39,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.4,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.41,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
0.42,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1156.03,12.5,1168.53
