model,strategy,threshold,tp,fp,tn,fn,precision,recall,f1,mcc,pr_auc,roc_auc,fraud_loss,fp_cost,total_cost,savings_vs_default,savings_pct_vs_default
logistic_regression,default_0.50,0.5,57,164,56723,18,0.2579,0.76,0.3851,0.4416,0.6298,0.8597,980.77,2050.0,3030.77,0.0,0.0
logistic_regression,f1_optimal,0.84,51,18,56869,24,0.7391,0.68,0.7083,0.7086,0.6298,0.8597,1301.37,225.0,1526.37,1504.4,49.64
logistic_regression,mcc_optimal,0.84,51,18,56869,24,0.7391,0.68,0.7083,0.7086,0.6298,0.8597,1301.37,225.0,1526.37,1504.4,49.64
logistic_regression,cost_optimal,0.84,51,18,56869,24,0.7391,0.68,0.7083,0.7086,0.6298,0.8597,1301.37,225.0,1526.37,1504.4,49.64
random_forest,default_0.50,0.5,54,1,56886,21,0.9818,0.72,0.8308,0.8406,0.8094,0.9825,1158.84,12.5,1171.34,0.0,0.0
random_forest,f1_optimal,0.29,58,5,56882,17,0.9206,0.7733,0.8406,0.8436,0.8094,0.9825,928.07,62.5,990.57,180.77,15.43
random_forest,mcc_optimal,0.29,58,5,56882,17,0.9206,0.7733,0.8406,0.8436,0.8094,0.9825,928.07,62.5,990.57,180.77,15.43
random_forest,cost_optimal,0.29,58,5,56882,17,0.9206,0.7733,0.8406,0.8436,0.8094,0.9825,928.07,62.5,990.57,180.77,15.43
xgboost,default_0.50,0.5,54,0,56887,21,1.0,0.72,0.8372,0.8484,0.7651,0.8866,1156.03,0.0,1156.03,0.0,0.0
xgboost,f1_optimal,0.49,54,0,56887,21,1.0,0.72,0.8372,0.8484,0.7651,0.8866,1156.03,0.0,1156.03,0.0,0.0
xgboost,mcc_optimal,0.49,54,0,56887,21,1.0,0.72,0.8372,0.8484,0.7651,0.8866,1156.03,0.0,1156.03,0.0,0.0
xgboost,cost_optimal,0.09,58,11,56876,17,0.8406,0.7733,0.8056,0.806,0.7651,0.8866,928.07,137.5,1065.57,90.46,7.83
lightgbm,default_0.50,0.5,50,0,56887,25,1.0,0.6667,0.8,0.8163,0.7621,0.8866,1370.67,0.0,1370.67,0.0,0.0
lightgbm,f1_optimal,0.1,58,7,56880,17,0.8923,0.7733,0.8286,0.8305,0.7621,0.8866,928.07,87.5,1015.57,355.1,25.91
lightgbm,mcc_optimal,0.1,58,7,56880,17,0.8923,0.7733,0.8286,0.8305,0.7621,0.8866,928.07,87.5,1015.57,355.1,25.91
lightgbm,cost_optimal,0.1,58,7,56880,17,0.8923,0.7733,0.8286,0.8305,0.7621,0.8866,928.07,87.5,1015.57,355.1,25.91
catboost,default_0.50,0.5,57,4,56883,18,0.9344,0.76,0.8382,0.8425,0.8011,0.9262,983.96,50.0,1033.96,0.0,0.0
catboost,f1_optimal,0.48,57,4,56883,18,0.9344,0.76,0.8382,0.8425,0.8011,0.9262,983.96,50.0,1033.96,0.0,0.0
catboost,mcc_optimal,0.48,57,4,56883,18,0.9344,0.76,0.8382,0.8425,0.8011,0.9262,983.96,50.0,1033.96,0.0,0.0
catboost,cost_optimal,0.48,57,4,56883,18,0.9344,0.76,0.8382,0.8425,0.8011,0.9262,983.96,50.0,1033.96,0.0,0.0
voting_ensemble,default_0.50,0.5,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7288,0.9391,1036.66,37.5,1074.16,0.0,0.0
voting_ensemble,f1_optimal,0.02,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7288,0.9391,1036.66,37.5,1074.16,0.0,0.0
voting_ensemble,mcc_optimal,0.02,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7288,0.9391,1036.66,37.5,1074.16,0.0,0.0
voting_ensemble,cost_optimal,0.02,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7288,0.9391,1036.66,37.5,1074.16,0.0,0.0
stacking_ensemble,default_0.50,0.5,55,3,56884,20,0.9483,0.7333,0.8271,0.8337,0.7202,0.8865,1089.88,37.5,1127.38,0.0,0.0
stacking_ensemble,f1_optimal,0.04,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7202,0.8865,1036.66,37.5,1074.16,53.22,4.72
stacking_ensemble,mcc_optimal,0.04,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7202,0.8865,1036.66,37.5,1074.16,53.22,4.72
stacking_ensemble,cost_optimal,0.04,56,3,56884,19,0.9492,0.7467,0.8358,0.8417,0.7202,0.8865,1036.66,37.5,1074.16,53.22,4.72
